GeneSymbol	Accession	logFC_Pr	pvals_Pr	UniquePeptides	controlOE1	controlOE2	controlOE3	controlOE4	Foxk1OE1	Foxk1OE2	Foxk1OE3	Foxk1OE4
Cisd2	Q9CQB5	0.5896903	0.02183477	5	1.089	0.972	1.071	0.93	1.658	1.234	1.483	1.738
Cisd3	B1AR13	0.09093021	0.6909883	2	1.01	1.017	0.897	1.134	0.926	1.338	1.21	0.848
Ckap4	Q8BMK4	0.3151717	0.01619646	28	1.069	0.972	1.048	0.892	1.294	1.153	1.226	1.28
Ckap5	A2AGT5	-0.2022203	0.1983197	30	1.07	0.955	0.936	1.099	0.804	0.976	0.928	0.821
Clasp1	Q80TV8	-0.05898343	0.2989484	23	1.043	0.965	0.975	1.036	0.925	0.978	0.987	0.968
Clasp2	Q8BRT1	-0.1121753	0.3335903	12	1.025	0.947	1.013	1.052	0.878	1.057	0.934	0.866
Clca3a1	Q9QX15	-1.558477	0.000601355	15	0.948	0.978	0.984	1.084	0.351	0.373	0.331	0.301
Clcc1	Q99LI2	-0.1801595	0.07784752	6	0.988	0.988	0.99	0.995	0.926	0.789	0.807	0.974
Clcn3	P51791	0.004668339	0.8764511	2	1.014	0.971	1	1.026	0.98	1.017	0.976	1.051
Clcn5	Q9WVD4	0.07630993	0.3876382	3	1.036	1.03	1.036	0.893	0.959	1.093	1.081	1.079
Clcn7	O70496	-0.2014911	0.008072431	5	1.013	0.963	1.019	1.048	0.855	0.874	0.915	0.872
Cldn15	Q9Z0S5	-0.315605	0.01292983	1	0.997	0.998	0.94	1.106	0.75	0.894	0.765	0.838
Clec10a	P49300	0.1419741	0.04263695	1	1.066	0.983	0.973	0.991	1.155	1.008	1.109	1.156
Clec16a	Q80U30	-0.1444469	0.0200223	8	1.009	1.008	0.944	1.038	0.956	0.902	0.871	0.889
Clec2d	Q91V08	-0.7093465	0.001944472	2	1.061	0.911	1.043	0.986	0.597	0.606	0.604	0.64
Clic1	Q9Z1Q5	-0.9565729	0.000258033	8	0.976	0.985	1.031	1.033	0.544	0.485	0.485	0.56
Clic4	Q9QYB1	-0.2307876	0.005169638	6	1.006	0.998	0.996	0.964	0.864	0.813	0.83	0.871
Clint1	Q99KN9	-0.1815935	0.0234243	10	1.036	0.945	1.048	0.928	0.913	0.837	0.863	0.876
Clip1	Q922J3	-0.07358113	0.159414	17	0.994	1.032	1.051	0.905	0.986	0.946	0.947	0.905
Clip2	Q9Z0H8	-0.3778535	0.01336483	19	0.971	1.008	1.091	0.875	0.785	0.721	0.781	0.749
Clk3	O35492	0.1376693	0.4496489	1	1.075	0.885	1.136	0.859	0.991	1.301	1.086	0.973
Clmp	Q8R373	-0.9722482	0.003145086	3	0.994	0.922	1.077	1.023	0.485	0.576	0.457	0.529
Cln5	Q3UMW8	-0.4063203	0.02279175	3	1.023	1.035	0.968	1.044	0.695	0.672	0.777	0.927
Clns1a	Q61189	-0.1676742	0.6108087	2	1.176	0.988	1.141	0.778	1.227	0.47	0.798	1.14
Clock	O08785	0.06584589	0.3817475	4	1.016	0.992	0.976	0.999	0.969	1.153	1.049	0.998
Clp1	Q99LI9	-0.00467882	0.9139641	1	0.99	1.058	0.941	1.026	1.005	1.013	1.008	0.976
Clpb	Q60649	0.3132719	0.000348665	15	1.059	0.954	1.009	0.99	1.285	1.214	1.28	1.206
Clpp	O88696	0.1076904	0.3677216	8	0.992	1.016	1.047	0.932	1.132	0.949	1.031	1.184
Clptm1	Q8VBZ3	-0.01008126	0.7962253	12	1.012	0.982	1.009	1.018	0.991	1.042	0.95	1.01
Clptm1l	Q8BXA5	-0.3633935	0.01068737	2	1.003	1.004	0.988	1.011	0.809	0.666	0.791	0.848
Clpx	Q9JHS4	0.2331291	0.004303696	22	1.025	0.963	1.057	0.952	1.187	1.139	1.185	1.187
Clta	O08585	0.3088477	0.2927295	5	0.979	1.044	1.121	0.756	1.391	0.929	1.096	1.415
Cltb	Q6IRU5	-0.244935	0.3019636	8	0.94	1.03	1.135	0.808	0.934	0.669	0.774	0.925
Cltc	Q68FD5	-0.09516538	0.2372288	51	1.016	0.956	0.966	1.088	0.945	0.986	0.929	0.909
Cluh	Q5SW19	0.1582621	0.000606677	44	1.03	1.004	0.985	0.983	1.129	1.136	1.093	1.108
Clybl	Q8R4N0	0.3241268	0.06343363	13	0.975	1.134	0.993	0.832	1.261	1.136	1.293	1.235
Cmas	Q99KK2	0.01828717	0.6522031	10	1.011	0.988	0.969	1.03	1.016	1.047	1.012	0.974
Cmbl	Q8R1G2	0.6684964	0.005877609	7	1.001	1.09	0.973	0.923	1.544	1.463	1.721	1.609
Cmc1	Q9CPZ8	-0.3228081	0.2701055	1	1.139	0.712	1.006	1.243	1.065	0.805	0.785	0.623
Cmc2	Q8K199	0.05975807	0.8272154	2	1.212	0.734	0.955	1.237	1.06	1.207	1.161	0.885
Cmip	Q9D486	-0.09842914	0.1237907	2	1.025	0.927	1.04	1.011	0.902	0.934	0.928	0.975
Cmpk1	Q9DBP5	0.05678214	0.5941847	6	0.981	1.058	1.052	0.82	0.952	0.986	1.083	1.047
Cmss1	Q9CZT6	0.07641456	0.5335845	1	0.934	1.045	1.04	0.952	1.097	0.924	1.012	1.154
Cmtm3	Q99LJ5	-1.020618	0.00100263	3	0.917	1.004	0.983	1.113	0.511	0.465	0.484	0.52
Cmtm4	Q8CJ61	-0.1502945	0.4959431	3	0.985	0.991	1.33	1.101	1.126	0.829	0.845	1.171
Cmtr1	Q9DBC3	-0.03554412	0.726718	12	0.965	1.008	0.964	1.131	0.953	1.071	1.025	0.92
Cnbp	P53996	0.1467941	0.0696142	5	0.963	1.073	1.078	0.826	1.172	1.141	1.111	0.938
Cndp2	Q9D1A2	-0.127474	0.02801674	11	1.003	0.997	1.025	0.96	0.953	0.882	0.899	0.914
Cnih4	Q9CX13	0.147482	0.06221489	1	0.98	1.048	0.974	0.993	1.138	1.077	1.035	1.175
Cnn2	Q08093	-1.510416	0.000478574	7	0.932	0.954	1.066	1.008	0.383	0.342	0.343	0.322
Cnn3	Q9DAW9	-0.483371	0.0196321	6	0.922	1.016	1.07	0.919	0.739	0.64	0.676	0.754
Cnnm2	Q3TWN3	0.008889092	0.7503405	11	1.018	0.993	0.997	1.037	1.005	1.053	0.986	1.026
Cnnm3	Q32NY4	-0.323987	0.01782774	4	1.008	0.943	1.043	1.038	0.716	0.757	0.951	0.797
Cnot1	Q6ZQ08	-0.03553437	0.4915311	32	1.031	0.963	0.976	1.058	0.963	1.013	0.98	0.974
Cnot10	Q8BH15	-0.05206733	0.08599959	7	0.976	1.063	0.967	1	0.922	1	0.944	0.998
Cnot11	Q9CWN7	-0.0535675	0.08530448	3	1.043	0.936	0.964	1.09	0.968	0.929	0.94	1.049
Cnot2	Q8C5L3	0.01310101	0.8411125	5	0.997	1.027	0.991	1.041	1.035	1.05	1.078	0.93
Cnot3	Q8K0V4	-0.09772847	0.162116	8	1.044	0.939	1.018	1.045	0.988	0.967	0.922	0.904
Cnot4	Q8BT14	-0.2427014	0.1102093	2	1.121	0.946	0.915	1.048	0.83	0.92	0.868	0.788
Cnot6l	Q8VEG6	0.1483456	0.05906029	1	0.946	1.022	1.024	0.997	1.143	1.049	1.154	1.075
Cnot7	Q60809	0.007827218	0.9169129	2	0.94	1.013	1.001	1.09	1.055	0.898	0.983	1.13
Cnot8	Q9D8X5	-0.4082392	0.03518916	2	0.934	1.008	1.093	0.917	0.797	0.69	0.7	0.791
Cnpy2	Q9QXT0	0.3743535	0.2040059	5	1.007	1.038	1.118	0.766	1.598	0.978	1.14	1.377
Cnpy3	Q9DAU1	0.6328946	0.03198779	7	1.005	1.05	1.081	0.801	1.665	1.323	1.428	1.689
Cnpy4	Q8BQ47	0.2695268	0.4298955	4	0.926	1.039	1.158	0.757	1.458	0.904	0.938	1.377
Cnst	Q8CBC4	0.2459023	0.03993717	9	1.051	1.027	1.028	0.946	1.173	1.28	1.102	1.25
Coa3	Q9D2R6	0.2845451	0.001476465	3	1.015	0.969	1.009	0.979	1.208	1.209	1.266	1.155
Coa5	Q99M07	0.5159998	0.03602839	2	0.688	1.114	0.989	1.151	1.367	1.535	1.469	1.266
Coa6	Q8BGD8	0.1601387	0.4539615	2	0.919	1.202	0.887	0.953	0.91	1.398	1.34	0.778
Coa7	Q921H9	0.4574053	0.04361718	5	0.976	1.038	1.089	0.848	1.315	1.174	1.423	1.513
Coasy	Q9DBL7	0.1839654	0.000784895	10	1.038	0.976	0.972	1.036	1.191	1.129	1.099	1.15
Cobl	Q5NBX1	0.1674125	0.2705684	1	1.054	0.986	0.96	1.023	1.012	1.281	1.23	0.995
Cobll1	Q3UMF0	0.0508476	0.7152931	35	1.046	0.957	0.959	1.08	0.999	1.184	1.098	0.906
Cog1	Q9Z160	0.2543244	0.009135217	9	1.026	0.948	1.032	1.009	1.19	1.222	1.157	1.22
Cog2	Q921L5	0.3067306	0.02011118	9	0.949	1.006	1.063	0.971	1.296	1.174	1.192	1.272
Cog3	Q8CI04	0.3107031	0.005826835	10	0.98	1.004	1.007	0.983	1.242	1.19	1.19	1.307
Cog4	Q8R1U1	0.2153864	0.02802121	12	0.98	0.972	1.011	1.018	1.241	1.101	1.083	1.197
Cog5	Q8C0L8	0.1814112	0.001033732	6	1.027	1.004	0.988	1.026	1.176	1.111	1.142	1.158
Cog6	Q8R3I3	0.1539835	0.0191367	6	1.011	0.965	1	1.028	1.154	1.104	1.04	1.157
Cog7	Q3UM29	0.2436473	0.01229782	4	1.074	0.936	1.004	1.019	1.201	1.22	1.162	1.192
Cog8	Q9JJA2	0.3438443	0.04204191	7	1.013	1.007	1.051	0.901	1.307	1.166	1.189	1.379
Col11a1	Q61245	-1.370988	4.53E-05	2	0.926	1.027	1.036	0.989	0.356	0.381	0.439	0.362
Col12a1	Q60847	-0.4540268	0.01855791	14	0.997	0.963	0.962	1.141	0.722	0.802	0.737	0.705
Col18a1	P39061	-0.6018627	0.0493984	2	0.977	1.138	1.074	0.675	0.615	0.794	0.518	0.619
Col1a1	P11087	-1.743256	4.78E-05	37	0.955	0.985	1.029	1.015	0.29	0.32	0.303	0.277
Col1a2	Q01149	-1.42945	0.000166861	36	0.998	1.008	0.983	1.035	0.373	0.403	0.393	0.325
Col3a1	P08121	-1.221546	5.91E-05	35	0.974	0.999	1.037	0.966	0.456	0.421	0.442	0.386
Col4a1	P02463	-1.886776	0.000694867	22	0.976	0.999	0.956	1.111	0.259	0.347	0.259	0.228
Col4a2	P08122	-1.008665	0.000541366	26	0.96	1.031	0.954	1.063	0.508	0.523	0.49	0.471
Col4a3bp	Q9EQG9	-0.1114985	0.08760115	7	0.99	0.981	1.046	0.936	0.912	0.867	0.933	0.947
Col5a1	O88207	-0.8392515	0.000139747	11	0.973	1.013	0.989	1.038	0.559	0.602	0.525	0.557
Col5a2	Q3U962	-0.5144702	0.000460629	14	0.963	1.012	1.019	1.01	0.685	0.734	0.727	0.657
Col6a1	Q04857	-1.13909	0.000289411	19	0.993	0.968	1.013	1.03	0.447	0.499	0.439	0.433
Col6a2	Q02788	-1.369234	3.60E-06	26	0.991	0.989	1.011	1.008	0.383	0.39	0.4	0.375
Colec12	Q8K4Q8	-1.364274	0.000147689	9	0.997	0.958	1.069	0.969	0.407	0.399	0.393	0.352
Colgalt1	Q8K297	-0.03522523	0.3696717	12	0.993	1.011	0.969	1.007	0.952	1.032	0.973	0.927
Commd1	Q8K4M5	-0.0194378	0.9555839	1	1.103	1.13	0.824	0.978	1.074	0.491	1.107	1.309
Commd10	Q8JZY2	-0.1148074	0.5260259	1	0.904	1	1.119	0.925	0.986	0.771	0.835	1.054
Commd2	Q8BXC6	-0.06950528	0.5282434	3	1.003	1.027	0.985	0.982	1.058	0.858	0.832	1.061
Commd3	Q63829	0.02044856	0.907089	5	0.963	1.038	1.078	0.844	1.07	0.824	0.964	1.121
Commd4	Q9CQ02	-0.09789764	0.04920542	2	1.029	0.972	0.973	1.05	0.975	0.916	0.848	1.021
Commd5	Q8R395	-0.1125918	0.336798	3	1.008	0.954	1.047	0.987	0.993	0.835	0.812	1.056
Commd6	Q3V4B5	-0.3692491	0.07166575	2	0.79	1.069	1.086	0.983	0.483	0.892	0.699	0.967
Commd7	Q8BG94	-0.1991212	0.2807116	4	0.936	0.959	1.069	1.023	1.047	0.656	0.796	0.974
Commd8	Q9CZG3	0.1096693	0.5795072	3	0.889	1.044	1.074	0.918	1.292	0.933	0.947	1.063
Commd9	Q8K2Q0	-0.09056208	0.6578968	3	0.995	0.995	1.118	0.853	1.058	0.748	0.835	1.079
Comp	Q9R0G6	-0.05075609	0.672378	2	0.922	1.14	0.979	0.922	0.971	0.978	0.825	1.052
Comt	O88587	-0.001458004	0.9876416	4	1.007	1.075	1.017	0.861	0.997	0.939	1.005	1.015
Comtd1	Q8BIG7	-0.5442607	0.00292977	3	1.014	0.951	1.081	0.973	0.703	0.603	0.697	0.753
Copa	Q8CIE6	0.02593759	0.2860998	39	1.006	1.011	0.97	1.037	1.01	1.058	1.006	1.023
Copb1	Q9JIF7	0.06734387	0.05328734	22	1.021	0.977	1.004	0.995	1.095	1.014	1.013	1.066
Copb2	O55029	0.04216945	0.3601556	29	1	0.995	0.98	1.037	1.05	1.078	1.013	0.99
Cope	O89079	0.1368098	0.1231462	5	1	1.019	1.043	0.909	1.119	1.034	1.083	1.13
Copg1	Q9QZE5	-0.01484156	0.7344818	17	0.993	0.961	1.024	1.028	1.028	0.975	0.934	1.028
Copg2	Q9QXK3	0.2042214	0.02805401	16	1.001	1.016	0.994	0.961	1.204	1.088	1.096	1.188
Coprs	Q9CQ13	-0.3649465	0.1098131	1	0.993	1.106	1.081	0.726	0.799	0.772	0.691	0.771
Cops2	P61202	0.1679366	0.2785431	11	0.97	0.975	1.05	0.958	1.214	1.003	0.96	1.264
Cops3	O88543	0.05339341	0.5462897	11	0.982	1.022	1.002	0.999	1.054	1.001	0.925	1.176
Cops4	O88544	0.2270618	0.1752964	19	0.997	0.993	1.067	0.909	1.273	0.973	1.105	1.291
Cops5	O35864	0.2025918	0.01363512	11	0.996	0.974	0.998	1.025	1.222	1.094	1.092	1.187
Cops6	O88545	0.2654459	0.1176525	8	0.986	0.993	1.074	0.932	1.324	0.996	1.16	1.31
Cops7a	Q9CZ04	0.1318978	0.004883912	9	1.054	0.962	0.996	1.02	1.139	1.097	1.079	1.103
Cops7b	Q8BV13	0.1188794	0.07266184	1	0.948	1.012	1.119	0.961	1.112	1.085	1.129	1.061
Cops8	Q8VBV7	0.1489062	0.1118671	5	0.985	1.016	1.008	0.955	1.129	0.982	1.146	1.138
Copz1	P61924	-0.0776209	0.06528695	2	1.021	0.965	0.986	1.018	0.972	0.934	0.881	0.994
Copz2	Q9JHH9	0.2070271	0.01849155	5	1.011	0.967	1.013	1.014	1.231	1.114	1.079	1.199
Coq2	Q66JT7	-0.5697714	0.003550523	1	1.06	1.068	0.914	0.973	0.71	0.65	0.603	0.742
Coq3	Q8BMS4	0.357642	0.01752853	2	0.937	1.079	1.04	0.854	1.205	1.196	1.372	1.237
Coq4	Q8BGB8	0.1050137	0.2068563	5	1.022	0.939	1.057	0.995	1.148	0.964	1.029	1.175
Coq5	Q9CXI0	0.2630953	0.105796	7	0.999	1.017	1.046	0.887	1.225	1.074	1.123	1.317
Coq6	Q8R1S0	0.2206369	0.03705473	7	1.007	1.037	0.992	0.958	1.204	1.065	1.204	1.181
Coq7	P97478	0.3448428	0.002432856	3	1.047	0.956	1.015	0.967	1.342	1.175	1.241	1.303
Coq8a	Q60936	0.5998573	0.000304737	15	1.006	0.988	1.047	0.974	1.498	1.477	1.538	1.572
Coq8b	Q566J8	0.4280689	0.008605493	8	0.936	0.932	0.988	1.084	1.357	1.379	1.211	1.354
Coq9	Q8K1Z0	0.6622343	0.02631645	8	1.012	0.967	1.113	0.858	1.729	1.302	1.46	1.76
Coro1b	Q9WUM3	-0.006863968	0.6302511	12	1.02	0.994	1.019	0.97	1.03	0.987	0.99	0.977
Coro1c	Q9WUM4	0.03270107	0.6583656	10	0.989	0.965	0.983	1.076	1.047	1.065	1.031	0.962
Coro7	Q9D2V7	0.5792118	5.83E-05	13	1.018	1	1.023	0.981	1.532	1.453	1.539	1.485
Cotl1	Q9CQI6	0.160064	0.1468539	6	0.933	1.066	0.995	0.986	1.137	1.014	1.109	1.187
Cox10	Q8CFY5	0.5890281	0.000898261	1	1.02	0.959	1.002	1.035	1.624	1.383	1.482	1.552
Cox11	Q6P8I6	0.2492845	0.01122233	2	1.065	0.931	1.056	0.919	1.177	1.196	1.213	1.134
Cox14	Q8BH51	0.2570836	0.03279413	2	0.945	1.066	0.996	0.961	1.235	1.123	1.171	1.213
Cox15	Q8BJ03	0.377596	0.0177974	7	1.007	1.025	0.964	1.005	1.394	1.157	1.236	1.411
Cox16	Q9CR63	-0.05626199	0.3570774	3	1.021	0.952	0.975	1	0.923	1.005	0.955	0.914
Cox17	P56394	0.5129369	0.006395711	2	1.009	1.016	1.036	0.909	1.46	1.343	1.365	1.497
Cox18	Q8VC74	0.4725806	0.0104091	4	1.018	1.049	0.962	1.032	1.522	1.264	1.32	1.529
Cox19	Q8K0C8	0.08594359	0.696205	1	1.146	0.888	0.999	0.991	0.865	1.231	1.248	0.927
Cox4i1	P19783	0.03861587	0.1562095	6	1.002	0.965	0.996	1.055	1.029	1.033	1.007	1.058
Cox5a	P12787	0.4807617	0.1036946	3	1.007	1.015	1.084	0.788	1.67	1.059	1.239	1.466
Cox5b	P19536	0.08108393	0.8521804	5	0.833	1.21	1.168	0.629	1.402	0.657	0.911	1.092
Cox6a1	P43024	-0.3321997	0.01198847	1	1.072	1.117	0.922	0.871	0.77	0.954	0.79	0.649
Cox6b1	P56391	-0.1523619	0.496056	4	0.977	1.231	0.842	0.971	0.768	1.094	1.114	0.642
Cox6c	Q9CPQ1	-0.05345301	0.6325116	4	1.017	1.002	1.057	0.883	0.975	0.896	0.905	1.039
Cox7a1	P56392	0.7192236	0.00104349	1	1.021	1.048	0.94	1	1.568	1.718	1.72	1.594
Cox7a2	P48771	-0.2357452	0.01248333	2	0.967	0.966	1.002	1.045	0.899	0.78	0.819	0.882
Cox7a2l	Q61387	-0.1806443	0.007793888	3	0.975	1.04	0.966	1.021	0.844	0.953	0.877	0.857
Cox7c	P17665	-0.1469314	0.01024008	2	0.998	1.061	0.972	0.976	0.9	0.924	0.917	0.878
Cp	Q61147	-1.162939	0.00099915	5	0.993	0.922	0.988	1.114	0.434	0.468	0.442	0.45
Cpd	O89001	-0.2597299	0.01607979	14	1.029	0.962	1.008	1.013	0.842	0.895	0.82	0.794
Cpeb3	Q7TN99	-0.4046359	0.5935721	1	0.64	1.021	0.869	1.616	0.838	0	1.59	0.704
Cpeb4	Q7TN98	-0.04836709	0.7652853	2	1.008	1.044	0.915	1.067	0.89	1.152	1.072	0.787
Cpne1	Q8C166	-0.1263901	0.009764797	11	1.005	0.997	1.01	0.958	0.9	0.908	0.913	0.916
Cpne2	P59108	-1.479518	0.000170287	2	0.981	0.984	1.015	1.016	0.362	0.41	0.322	0.339
Cpne3	Q8BT60	-0.1819828	0.0020961	6	1.046	0.958	1.012	1.009	0.911	0.857	0.868	0.912
Cpox	P36552	0.2378609	0.003442091	9	0.996	1.036	1.014	0.943	1.191	1.172	1.168	1.173
Cpped1	Q8BFS6	0.02622828	0.5671566	6	1.048	0.978	1.018	0.935	1.032	0.964	1.018	1.038
Cpq	Q9WVJ3	-0.4543384	0.001123055	9	1.007	1.004	1.001	0.982	0.748	0.696	0.702	0.769
Cpsf1	Q9EPU4	0.09651862	0.01674018	3	0.935	1.056	0.998	1	1.005	1.162	1.061	1.037
Cpsf3	Q9QXK7	0.0036185	0.9196425	3	0.994	0.948	1.068	0.972	1.011	0.971	1.003	1.007
Cpsf3l	Q9CWS4	-0.003598643	0.9249859	4	1.01	0.997	1.026	0.981	1.063	0.995	0.96	0.986
Cpsf6	Q6NVF9	0.2561965	0.009926696	8	0.982	1.022	1.037	0.942	1.239	1.138	1.199	1.181
Cpsf7	Q8BTV2	0.05493646	0.4395894	14	1.013	0.97	0.952	1.11	1.053	1.058	1.066	1.025
Cpt1a	P97742	-0.7412604	0.001277114	3	0.956	1.031	0.976	1.074	0.624	0.633	0.581	0.577
Cpt2	P52825	0.01652919	0.08887797	24	1.005	0.99	0.995	1.002	1.02	1.009	1.009	1
Cr1l	Q64735	0.1639818	0.2175799	4	1.032	0.957	1.076	0.881	1.218	0.936	1.084	1.183
Crat	P47934	0.3262793	0.007806538	20	1.038	0.984	0.954	1.063	1.248	1.277	1.304	1.235
Crbn	Q8C7D2	-0.3967093	0.007922213	2	1.035	1.018	0.994	0.942	0.816	0.681	0.746	0.787
Creb1	Q01147	0.1261986	0.2443779	1	0.924	1.041	1.055	0.94	1.107	0.999	1.065	1.151
Crebbp	P45481	-0.2023159	0.1407346	2	1.046	0.917	0.992	1.065	0.906	0.969	0.814	0.805
Creg1	O88668	-0.4339849	0.003746557	1	0.966	1.031	0.972	1.042	0.765	0.722	0.761	0.721
Creld2	Q9CYA0	1.042538	0.03761912	7	0.989	1.057	1.081	0.833	2.439	1.503	1.735	2.48
Crk	Q64010	0.03083962	0.7320174	9	0.957	1.099	1.02	0.858	0.93	0.987	1.162	0.94
Crkl	P47941	0.1810637	0.09820588	9	0.963	1.152	0.974	0.882	1.003	1.26	1.269	0.97
Crlf1	Q9JM58	-0.8314267	0.01096524	2	0.903	1.053	0.933	1.145	0.515	0.634	0.636	0.482
Crlf3	Q9Z2L7	0.3196202	0.06121264	5	0.963	0.987	1.167	0.887	1.323	1.209	1.186	1.279
Crls1	Q80ZM8	0.4739024	0.002701548	2	1.048	0.947	0.967	1.042	1.481	1.227	1.337	1.516
Crnkl1	P63154	0.3169484	0.1349352	1	1.159	1.064	0.9	0.882	1.11	1.218	1.288	1.373
Crot	Q9DC50	0.2528613	0.005864267	10	1.035	0.994	0.953	1.074	1.225	1.208	1.205	1.195
Crtap	Q9CYD3	-0.202749	0.06445807	7	1.01	1.001	1.013	0.988	0.929	0.815	0.784	0.958
Crtc1	Q68ED7	-0.1438598	0.5988334	2	0.882	1.085	1.148	0.752	1.067	0.671	0.842	0.92
Crtc2	Q3U182	-0.2711483	0.587506	1	1.761	0.644	0.688	1.115	1.095	1.155	0	1.237
Cry2	Q9R194	-0.0414691	0.327905	2	1.009	0.963	1.042	0.974	1.014	0.949	0.942	0.97
Cryab	P23927	-0.004349838	0.9440571	2	0.857	1.102	0.996	1.031	0.836	1.047	1.109	0.982
Cryz	P47199	0.01765337	0.8203261	16	0.983	1.133	0.956	0.908	0.985	1.023	1.087	0.934
Cryzl1	Q921W4	-0.06025195	0.7687062	2	0.996	1.085	1.111	0.793	1.079	0.806	0.889	1.048
Cs	Q9CZU6	0.3207723	0.002821462	14	1.019	0.984	1.006	0.987	1.272	1.165	1.252	1.302
Csad	Q9DBE0	0.04060185	0.4392919	14	1.046	1.022	0.978	0.948	1.087	0.98	0.983	1.058
Csde1	Q91W50	-0.01821149	0.6463483	20	1.023	0.988	1.051	0.924	1.01	0.946	0.999	0.981
Cse1l	Q9ERK4	0.03282237	0.571134	22	1	0.984	1.012	1.002	1.063	0.988	0.942	1.097
Csk	P41241	-0.3387175	0.002071113	10	1.006	0.955	1.01	1.048	0.827	0.776	0.794	0.781
Csnk1a1	Q8BK63	-0.1226019	0.06136311	4	0.981	1.031	1.002	1.012	0.963	0.906	0.869	0.96
Csnk1d	Q9DC28	-0.1930541	0.2514913	2	0.925	1.021	0.955	1.131	0.777	0.986	0.999	0.765
Csnk1e	Q9JMK2	-0.1371309	0.01679049	3	0.954	1.023	0.998	0.896	0.821	0.931	0.953	0.815
Csnk1g1	Q8BTH8	-0.2124256	0.07414234	3	0.972	1.014	1.041	1.012	0.945	0.936	0.796	0.809
Csnk2a1	Q60737	0.07918251	0.2049488	8	0.992	1.011	1.004	0.981	1.104	0.996	1.012	1.101
Csnk2a2	O54833	-0.0674725	0.3844681	7	1.035	0.968	1.025	0.999	1.055	0.857	0.889	1.042
Csnk2b	P67871	0.1025877	0.5025076	6	0.941	1.091	1.039	0.864	1.129	0.926	1.046	1.124
Csrp1	P97315	-0.6822512	0.01372987	2	0.977	0.911	1.037	1.016	0.528	0.727	0.694	0.507
Csrp2	P97314	-1.012531	0.005920318	3	0.898	1.022	0.973	1.154	0.412	0.594	0.568	0.432
Cst3	P21460	-0.4417379	0.03784448	5	0.917	1.246	0.901	0.917	0.617	0.907	0.856	0.551
Cstb	Q62426	-0.0962651	0.08592937	4	1.004	1.103	0.984	0.906	0.896	1.05	0.987	0.806
Cstf1	Q99LC2	0.02507229	0.5061412	3	1.018	0.956	1.037	0.982	1.059	1.021	0.995	0.988
Cstf2	Q8BIQ5	0.1666955	0.001100998	6	1.061	0.939	1.082	0.943	1.2	1.08	1.184	1.054
Cstf2t	Q8C7E9	-0.06884428	0.2655637	4	1.053	0.961	1.018	0.981	0.916	0.99	0.972	0.948
Cstf3	Q99LI7	0.03915434	0.1116654	5	0.999	0.945	0.97	1.048	1.025	0.996	1.008	1.042
Ctage5	Q8R311	0.04720175	0.3952266	15	1.037	0.954	1.03	1.008	1.04	1.088	1.04	0.995
Ctbp1	O88712	0.1867299	0.009729566	5	1.016	0.98	1.012	0.994	1.21	1.088	1.104	1.153
Ctbp2	P56546	-0.2861625	0.001038385	4	0.997	0.969	1.014	0.994	0.849	0.794	0.838	0.778
Ctbs	Q8R242	0.1794137	0.08663472	2	0.913	1.161	0.984	0.899	1.12	1.138	1.159	1.064
Ctc1	Q5SUQ9	0.04958693	0.4376223	5	0.964	0.991	0.997	1.023	1.038	1.116	0.96	1
Ctcf	Q61164	-0.1077723	0.2818547	2	0.993	1.07	0.919	1.033	0.821	0.958	1.004	0.943
Ctdp1	Q7TSG2	0.05992998	0.09537881	4	1.036	1.002	0.96	1.01	1.045	1.054	1.048	1.031
Ctdspl	P58465	-0.1969155	0.2380894	1	0.978	0.867	1.009	1.206	0.949	0.876	0.893	0.824
Cth	Q8VCN5	0.252187	0.01285449	13	0.984	1.004	0.992	1.025	1.281	1.142	1.159	1.188
Ctif	Q6PEE2	-0.4984079	0.01903909	2	0.971	0.992	0.982	1.074	0.653	0.814	0.766	0.612
Ctla2b	P12400	-1.323965	0.01350809	1	0.838	0.999	1.217	0.844	0.468	0.309	0.369	0.411
Ctnna1	P26231	-0.9025776	0.000143694	22	1.006	0.975	1.035	0.992	0.505	0.558	0.546	0.535
Ctnnb1	Q02248	-1.122076	0.000930471	12	0.906	1.073	1.011	0.991	0.459	0.463	0.408	0.499
Ctnnbl1	Q9CWL8	0.2461107	0.165977	5	0.942	1.02	1.102	0.909	1.259	1.051	1.095	1.307
Ctnnd1	P30999	-0.4369695	0.00049326	20	1.019	0.951	1.028	1.001	0.766	0.73	0.752	0.706
Ctps1	P70698	0.01294228	0.1942091	14	1.019	0.981	0.989	1.006	1.044	0.987	0.992	1.008
Ctps2	P70303	-0.2716604	0.002374212	16	1.014	1.012	0.992	1.008	0.878	0.81	0.787	0.86
Ctr9	Q62018	0.2203514	0.001975073	5	1.013	0.989	1.005	1.035	1.152	1.201	1.153	1.203
Ctsa	P16675	-0.5704683	0.001810092	7	0.933	1.043	0.953	1.082	0.647	0.666	0.69	0.698
Ctsb	P10605	0.1483163	0.5171474	8	0.966	1.118	1.065	0.73	1.191	0.874	1.079	1.155
Ctsd	P18242	-0.3833763	0.05295077	10	0.962	1.148	1.005	0.836	0.804	0.711	0.774	0.74
Ctsl	P06797	0.7813267	0.000147526	5	0.97	1.071	1.015	0.915	1.745	1.706	1.734	1.64
Ctso	Q8BM88	-0.3208049	0.003986456	1	0.792	1.233	0.98	0.847	0.65	0.985	0.815	0.634
